movie_id,actor_id
1,2932
2,1026
2,2694
3,55
3,248
4,2583
4,2918
4,156
5,182
6,1116
6,997
6,1820
7,157
8,1282
8,674
9,500
9,1339
9,2156
10,1610
10,1102
11,2732
11,602
11,11
12,2730
12,2262
12,2513
12,2652
13,2517
13,337
14,2309
14,1561
14,236
15,2937
16,2950
16,1383
16,2843
16,1619
16,433
17,2100
17,271
17,868
18,1073
18,2110
18,1687
18,2589
18,2898
19,161
19,2821
19,2688
19,430
20,305
20,2253
20,2895
21,250
21,1889
21,1651
21,225
21,546
22,1637
22,1543
22,1233
22,841
23,2467
24,1957
24,2718
24,510
24,652
25,416
26,2449
26,2249
26,649
26,394
26,1692
27,2186
27,2748
27,2995
28,489
28,419
28,2354
28,1213
28,2592
29,1001
29,1136
29,564
29,2687
30,1258
31,169
31,268
31,1405
31,2172
31,1231
32,102
32,710
32,2174
32,2980
32,610
33,2793
34,742
34,1749
34,76
35,2776
35,1360
35,2642
35,1881
35,2953
36,790
36,1136
36,2504
36,2755
36,2705
37,1984
37,1536
38,1409
38,1252
38,2976
38,543
39,1632
39,2914
40,1309
40,1661
41,1738
41,66
42,2796
43,357
44,2897
44,1237
45,515
46,2226
46,1047
46,1442
47,943
48,1541
48,2956
48,2372
48,2557
49,383
49,1444
49,64
49,274
50,1682
50,2497
50,79
50,825
51,506
51,969
51,1676
51,2953
52,493
52,2438
52,1734
53,41
53,1029
53,2206
54,735
54,2776
54,2916
54,728
54,42
55,2901
56,607
56,509
56,2776
56,1150
56,1804
57,1905
57,1312
57,661
57,88
57,1237
58,1672
58,2002
58,2594
58,2791
58,2658
59,1367
60,1778
60,1798
60,2401
61,1615
61,325
61,2368
61,1162
62,390
62,1529
62,2674
63,1192
63,508
63,2977
63,2834
64,2468
64,497
64,1327
64,1813
64,1968
65,2908
65,2813
65,2296
65,505
65,2143
66,1263
66,516
66,794
67,645
67,1468
67,346
68,364
68,750
68,379
69,521
69,802
70,767
70,2850
70,1786
71,1535
71,1237
71,1241
71,468
72,982
72,1466
72,2166
72,1357
73,822
73,2428
73,1255
73,1691
73,2129
74,1836
74,1361
74,960
75,469
75,1596
75,692
76,548
76,148
76,2753
76,982
76,195
77,1580
77,1950
78,567
78,583
79,1412
79,46
80,1686
81,1471
81,2857
82,334
83,1082
83,2080
83,2479
83,1353
83,291
84,1682
85,722
85,910
85,941
85,2853
85,1389
86,866
86,762
87,141
87,124
87,1878
87,275
88,1230
88,959
88,162
88,1019
88,1466
89,2152
89,2796
89,242
90,1344
90,1639
91,2507
91,2814
91,737
91,574
91,1052
92,2716
92,2310
92,363
93,1316
93,2111
93,302
93,308
94,1648
94,59
94,706
94,2633
94,1068
95,775
96,2511
97,834
98,2777
99,1477
99,1464
99,665
100,2450
100,1477
101,705
102,2303
102,2586
102,1286
102,863
103,420
103,1933
