movie_id,title,release_year,genre_id,director_id,duration_min
1,Cover other scientist,2016,9,773,131
2,Industry,1970,4,103,133
3,National throw,2008,10,192,129
4,Eat challenge,2018,5,448,167
5,Teacher cause,2019,8,15,167
6,Behind accept,2014,14,878,125
7,Middle find tax,1991,4,647,72
8,Hospital receive ahead need,2018,10,263,122
9,Front thousand,1979,1,493,101
10,Your why all show,1976,12,384,157
11,Power whatever yeah,1978,13,978,164
12,Guess debate claim,1975,10,271,143
13,Star response,2019,1,413,170
14,Subject always,2014,1,963,76
15,Charge training someone painting,1973,4,959,176
16,Image,1981,4,44,167
17,We almost town throw,1998,5,325,116
18,However animal,1992,2,122,171
19,Wife difference run,1986,3,171,160
20,Onto money,2010,10,104,145
21,Manager son own,2004,8,554,125
22,Left hope,2010,5,953,169
23,House draw,1974,12,584,76
24,Both Mr clearly,2011,2,261,92
25,Identify might perhaps little,2008,9,488,100
26,Southern than,1987,13,507,93
27,Have statement gas,2020,7,407,127
28,End,1998,15,838,106
29,Along though visit,2011,4,5,180
30,Much perhaps even,1996,10,206,162
31,That smile,2005,2,756,95
32,Ball I,2000,7,812,127
33,Month by,2016,6,143,116
34,Big record,1988,1,92,140
35,Director win yourself,1986,3,547,83
36,Listen positive,1985,3,752,77
37,Fire course,1984,10,614,128
38,Or type American,1979,2,651,99
39,Probably situation,1980,14,103,165
40,Or collection,2020,10,460,134
41,Coach Mr allow,2023,6,646,138
42,All here item,2021,9,894,70
43,Successful hear,1985,11,94,86
44,Family clear,2021,1,277,109
45,Serious another play,1991,2,1000,92
46,Art parent,1988,12,79,108
47,South hotel,1995,1,895,89
48,Cover,1971,13,195,162
49,Small whose,1993,5,9,100
50,Nor,1981,5,493,135
51,Certain bring really,1979,12,233,121
52,Already soldier dog,1980,14,305,70
53,They necessary,1980,13,800,83
54,Office other test pattern,1978,12,197,139
55,Contain hit,1972,15,756,172
56,Other training,1980,9,227,104
57,Explain war,1978,2,8,104
58,Reveal stage information,2014,8,125,90
59,Figure they trade,2005,7,253,87
60,Argue hour strong standard,1996,3,860,72
61,American since which,1975,15,986,94
62,Pretty continue,1996,1,305,169
63,Tough by,1987,14,889,133
64,Law approach,1996,15,244,172
65,Necessary hand ask,1972,8,766,142
66,Recent white newspaper,1991,5,974,114
67,Member account,1971,13,345,109
68,Base,1971,4,743,180
69,Condition,2022,2,928,151
70,Huge hear mother effect,1991,13,154,130
71,Every ten today month,1994,2,965,71
72,Everyone between billion,2019,3,720,81
73,Study field,1972,7,3,149
74,Second turn,2002,5,291,120
75,Herself professional,2010,6,377,142
76,Half institution month,2012,7,742,100
77,Surface a,1997,15,612,154
78,Character magazine,1981,5,399,95
79,Performance character painting,1979,12,656,101
80,Order,2021,11,603,110
81,Approach staff keep oil,2006,13,490,76
82,People structure information half,1994,8,349,125
83,Sell region,1988,9,487,90
84,Peace hope,2013,8,628,114
85,Sort central,2020,1,351,95
86,Foreign investment beyond,2001,11,416,161
87,Chair effect,1977,15,591,156
88,Fire study Republican,1976,13,613,114
89,Its else,2016,5,428,121
90,Rate thousand mind,1990,5,227,108
91,Whatever action,2005,15,802,114
92,Size majority recognize,1975,8,490,84
93,Actually exist,1993,6,700,81
94,Perhaps like,2017,13,499,87
95,Send man hear,2021,8,971,85
96,Beautiful politics,2003,3,761,140
97,Officer reality than,1971,1,590,123
98,Citizen floor,2005,10,315,156
99,Next,1977,7,570,115
100,Fill property attorney,2024,6,112,78
101,Majority policy,1980,12,12,122
102,Rate style share,1981,15,475,91
103,International month both,1970,7,616,101
104,Serious such,2021,15,326,74
105,Available new,2022,14,212,105
106,Institution final sing,2017,14,451,95
107,Method beat fight husband,2017,8,151,169
108,Shoulder rock development,2007,11,40,164
109,Traditional,2014,15,619,142
110,Tell kitchen want,2021,1,730,144
111,Past particularly,2004,3,963,91
112,Consider whom fast,1978,4,926,76
113,Foot,1996,5,980,83
114,Ten,2011,3,200,136
115,Product nature just,1998,15,815,81
116,Bit low,2016,11,974,131
117,Enter,2006,8,992,76
118,Through several,1998,13,700,172
119,Center along race,2014,11,347,108
120,Task tend,2021,8,544,124
121,Some difference drop meet,2000,3,296,97
122,Child may set,1984,1,933,90
123,Civil tree,1985,3,781,144
124,Season,2013,12,421,118
125,Room how character,1991,4,883,135
126,Site well interesting,2017,2,245,123
127,Significant,1984,4,556,129
128,Opportunity power partner,1985,11,39,96
129,High,2006,3,421,135
130,Successful help include,1986,3,478,130
131,Marriage model outside,2006,4,870,87
132,Record network,1995,14,494,164
133,Media but write,2004,1,440,110
134,Attack during,1993,12,676,85
135,Election mention especially,2008,10,206,130
136,Program marriage full,2006,1,938,91
137,Six ok,1983,13,424,120
138,Body outside current,1976,10,953,80
139,Long,2023,15,991,153
140,Hope maybe employee,2013,5,264,82
141,Relate would,2021,7,312,77
142,Civil herself hot,2018,5,71,122
143,Letter people a,1973,8,575,178
144,Present left while,1971,2,216,148
145,Act bar,1980,1,718,122
146,Trip prepare man,1980,4,923,133
147,Recent month place,1980,9,904,123
148,Support our let,2007,1,383,161
149,Fish off,1970,3,509,86
150,Similar cup,2012,7,259,169
151,Result effort effort,2003,12,334,77
152,Firm window,2000,3,971,75
153,Hair visit,1985,6,841,106
154,Site current interest,1979,8,848,126
155,Authority wife,1993,1,45,105
156,Return in,1990,2,849,77
157,Wonder about,1972,1,415,123
158,Sing country white,2019,4,14,156
159,Career article common,1987,6,132,73
160,Drop defense,1995,8,982,91
161,Fish participant exist,2018,2,885,94
162,World maintain the,1982,6,948,84
163,Walk,2006,9,694,130
164,Discussion place agreement,1970,10,685,126
165,Policy member,1994,5,127,85
166,Politics bad range,2003,8,793,75
167,Will car fall,2010,9,725,179
168,Home the walk,1990,2,549,165
169,Evening officer among west,1973,4,582,113
170,Eye either floor,2020,3,657,174
171,Perhaps on floor,1975,5,53,177
172,Successful company establish,2017,9,410,148
173,Situation bit issue,1983,12,202,136
174,Year true,1978,2,187,83
175,Expect position do,1991,12,109,121
176,Lot agency pull,1995,1,313,150
177,Wonder Mrs office,2006,7,683,158
178,Expert city,2012,14,757,134
179,Magazine data,1976,5,332,175
180,Myself remain,2010,13,765,129
181,Act,1976,13,519,130
182,Big most edge,1982,2,982,88
183,Organization interest group,1981,10,228,100
184,Role economy,1987,11,459,177
185,Issue beat quite,1998,12,807,160
186,Position real,1989,2,22,85
187,Out stage hold,1985,12,27,99
188,Area heavy central,1970,2,329,177
189,Make get,1980,11,987,171
190,Always group,2008,5,298,117
191,Return accept meeting,1996,1,30,171
192,Understand around significant,1980,10,487,119
193,Color recent,1981,1,415,166
194,Key energy,2016,6,529,88
195,Hospital laugh approach,1972,2,944,82
196,Myself pick hold,2004,5,537,180
197,Anything story,1988,7,996,73
198,Morning occur street,2018,8,336,104
199,Real fear,1991,14,233,77
200,Young show technology,2009,10,858,80
201,Sister say,2021,6,28,83
202,Order real expert,2020,1,139,117
203,Agreement old short,2010,12,755,131
204,More million,1975,14,594,88
205,Bar news model,1985,1,519,119
206,Operation soldier,2013,10,624,103
207,Amount community without,1979,3,765,135
208,Herself green,2003,6,884,120
209,Sometimes itself,1990,11,188,174
210,Floor mother,2011,3,318,114
211,Candidate price very,2004,7,168,73
212,Institution center,2005,1,729,106
213,Production experience call,2001,13,868,138
214,Figure,1977,5,480,175
215,Financial,1986,6,971,172
216,Toward machine pick,1979,12,30,87
217,Purpose exist,2013,9,66,135
218,Right or,1975,14,672,150
219,Father blue,1979,14,124,109
220,Risk product,1974,8,723,159
221,Hand stuff,2019,9,635,100
222,Challenge account fall,1997,10,237,87
223,At general,2021,2,751,143
224,Age middle,2003,13,298,155
225,Movement president,1986,1,611,135
226,Industry movement still,2024,8,62,125
227,Start institution attorney,1996,10,335,175
228,Poor,2013,5,379,130
229,Follow whole image,2000,15,51,159
230,Worker analysis serious,2007,15,609,163
231,Page color,1985,12,243,149
232,Develop item respond,1993,5,38,137
233,Lawyer plan in,1978,8,10,141
234,Kind event who,2004,6,557,158
235,Five,1979,10,812,129
236,Away determine provide,2008,3,957,132
237,Model mouth try,2005,11,130,175
238,Require would,1990,6,637,84
239,Page leader quickly executive,2011,14,89,170
240,Store type return,2015,4,642,176
241,Area first,1980,12,587,152
242,After sport,1991,4,990,108
243,Hospital tonight,1985,1,407,171
244,Rock then middle begin,1990,3,445,120
245,Common culture individual,2009,8,884,154
246,Happy,2007,5,519,177
247,North world,1982,6,499,162
248,Try on,2020,3,960,154
249,Effort determine book stock,1995,2,251,102
250,Face long Democrat option,1977,14,999,99
251,Sing along road,2007,15,662,163
252,Wind because hand,1970,5,449,141
253,Wear color,1996,11,495,154
254,What crime artist,1984,6,433,99
255,Analysis policy still,2016,14,542,93
256,News represent,2003,1,763,145
257,Memory why maintain,2007,1,609,132
258,Despite which eight week,1973,2,516,109
259,Near concern hope,1989,4,786,84
260,Including very,2010,6,367,132
261,Director,2017,3,203,81
262,Media,1986,10,112,140
263,Experience follow,2001,5,947,127
264,Feeling per,1984,4,808,164
265,Act get which,1984,7,373,163
266,Artist drug certainly,1985,5,628,90
267,Stock great lawyer,2006,10,317,113
268,Free effect,2010,13,191,152
269,Seven theory school,2012,13,64,148
270,Never throughout,2006,14,746,76
271,Management movement star radio,2008,3,457,101
272,Themselves anything,2003,12,9,175
273,Leader ready town success,2006,14,952,121
274,Way color threat,2003,2,330,106
275,Bit,1970,11,253,129
276,Crime member season bad,2013,7,352,76
277,Long,2017,10,821,116
278,Difference,1985,9,993,118
279,Improve beyond paper,1990,15,671,91
280,Nor recognize,2008,6,968,91
281,Draw structure,1988,3,663,171
282,Wear upon,1993,15,244,122
283,Individual college through,2024,9,726,72
284,Mrs option,1983,4,277,169
285,Big rather tell,2003,14,335,143
286,Fire country next,1982,5,541,133
287,Draw call,2004,5,188,176
288,Could daughter skin,1975,1,823,160
289,Sport,2009,5,15,158
290,Safe avoid,2000,13,703,134
291,Industry physical,1993,8,68,93
292,Media arrive,2011,14,221,119
293,Mouth number not,1994,8,677,111
294,Center paper director,2000,4,314,168
295,Low head religious talk,2012,10,155,123
296,Bring,1989,12,355,160
297,Rate,2023,12,159,147
298,Investment word,2012,3,513,140
299,Mean set,2016,1,167,139
300,Matter sort four,1979,5,122,108
301,Agent experience especially,1991,3,876,94
302,Sometimes drive,1990,6,982,116
303,Toward enjoy pass trial,2013,11,597,178
304,Laugh bad really marriage,1972,7,228,98
305,May remember,2016,9,304,150
306,Heavy,1999,14,10,161
307,Window once,2000,15,609,171
308,Institution item authority buy,2007,12,551,160
309,Leader southern,1987,15,303,112
310,Month issue,1992,8,486,143
311,Name gas reveal,2020,7,476,92
312,Compare marriage space,1980,6,561,80
313,Easy describe,1980,13,879,93
314,Number possible very,1975,7,482,180
315,Our check myself,2022,3,364,82
316,Two pay,1984,7,684,160
317,Final without,2021,14,410,143
318,Inside nor would,1975,1,860,142
319,Character sure,1974,9,152,164
320,People later explain,2019,11,150,102
321,Thing international water,2001,8,589,126
322,Others city,1976,12,548,139
323,Store choice the around,2008,15,550,124
324,Which career,2012,1,181,72
325,Tough important administration,1984,7,930,109
326,Doctor meet,2005,7,215,137
327,Crime garden become,1992,15,533,92
328,Born page quality,2002,6,575,150
329,Certain almost,2021,9,325,130
330,Over little,2022,11,972,75
331,Garden account tree star,1981,14,858,98
332,Top example material,1978,8,46,80
333,Young computer,2013,11,160,138
334,On everyone,2005,4,405,154
335,Performance agent kid,2006,4,32,86
336,Training those,2018,12,296,128
337,Order across order east,2022,7,748,107
338,Where floor become,1995,5,11,138
339,Lot summer,1989,7,663,157
340,Black author,2020,5,445,83
341,We body,2021,6,981,117
342,Eat heavy face,1986,15,634,74
343,Able feel,2004,8,48,112
344,Card indicate,2007,15,517,104
345,Including member,2020,13,331,93
346,Hear remember suddenly,1976,2,83,77
347,End almost,1996,15,881,73
348,Play traditional middle,1980,13,394,80
349,Fine us deep,1972,4,374,165
350,Space may interesting,1988,12,56,89
351,Life,1980,9,515,77
352,Difficult water,1993,2,85,115
353,Become movie,2014,1,16,171
354,Blood defense,1999,13,250,131
355,Fire citizen stock that,2003,14,640,129
356,Side price put,2020,6,286,141
357,Billion fear very,1972,11,781,79
358,Indeed,2002,8,733,134
359,Others,1996,3,977,169
360,Kitchen trip,1994,1,225,177
361,Safe create available,1981,9,23,124
362,Relationship appear bit agency,1995,12,542,86
363,Small line program,2003,2,247,129
364,Forward too statement,1994,12,378,104
365,Benefit kind station,1977,11,663,96
366,Seat student,2015,9,330,105
367,Himself claim explain,2022,3,848,157
368,Cause expert former,2024,1,282,149
369,Top,2008,9,32,119
370,Understand rich see,1985,3,352,157
371,Structure through,2006,11,784,138
372,Network receive,2000,7,214,166
373,Both Democrat,1998,1,442,89
374,Different production,1980,13,918,99
375,South thing network open,2003,10,440,103
376,Little positive door,1984,13,797,153
377,Huge responsibility dream,1993,6,170,111
378,Will avoid,2002,13,197,84
379,Role interesting economy,1980,7,473,170
380,Occur view,1987,10,115,150
381,Think its culture,1981,8,270,103
382,How kind federal sport,1984,10,767,83
383,Glass record exist a,1976,11,172,131
384,Throughout cold product,1995,1,115,111
385,Foot likely back,2006,1,496,143
386,Might national,1996,10,422,170
387,Develop forward room,2009,14,133,168
388,First end,2014,9,392,113
389,Surface,1986,13,161,94
390,Within each type,1992,14,617,83
391,Clearly major,2022,13,484,77
392,Activity certainly far,1977,4,76,125
393,Watch political wide,1993,10,916,91
394,Arrive,1970,2,243,119
395,Star significant through consumer,1977,6,796,91
396,Hot between,2022,8,841,167
397,Last lawyer,1996,12,53,160
398,Father last defense,2021,2,214,162
399,Customer high,1999,10,47,105
400,Anyone now challenge opportunity,1983,1,825,162
401,Question south bit,1989,12,397,133
402,Election cultural special,1974,4,840,128
403,Help live,1973,2,582,141
404,Financial artist nor,1975,8,186,76
405,One himself mouth,1997,2,580,97
406,Save ok know,2012,3,802,128
407,You century low unit,1995,7,945,175
408,Choice adult,2014,7,957,158
409,Majority wish,2012,10,811,133
410,Art shake choose,2018,3,161,98
411,Own particular,1986,13,218,180
412,Little someone,2000,10,707,107
413,Citizen,2014,7,805,102
414,Herself message,1981,5,230,148
415,Change voice,2024,12,660,154
416,Produce dream,2015,12,650,100
417,Seem rate air school,2018,5,290,76
418,Quality identify,2010,13,81,133
419,However generation,2004,9,570,77
420,Surface research,2021,8,440,159
421,Fear economy make,1991,9,917,107
422,Local year,1983,1,952,100
423,Enough product baby,2003,13,726,141
424,Television approach,1988,3,849,103
425,Customer peace truth,2011,2,8,133
426,Challenge able,2005,10,455,96
427,Decade coach step,2013,11,999,168
428,Others different discussion,2017,1,963,100
429,Already first,1989,14,363,168
430,Attack,2023,10,86,129
431,Almost someone responsibility,2004,8,429,158
432,Add,1980,11,764,124
433,Ago college image,1991,9,287,94
434,Media again,1992,2,194,71
435,Speech parent,2021,6,551,140
436,Industry else,1975,11,491,160
437,Interview bad,1980,6,105,164
438,Agent forward race everything,2018,7,861,132
439,Anything question,1974,9,420,96
440,Policy only as,2012,7,245,176
441,No final,2016,15,646,131
442,Road summer executive,2014,11,747,115
443,Make strategy worker,1977,3,721,91
444,Blood under imagine,2003,12,184,178
445,Minute cause,1985,6,596,160
446,Pressure quality entire,2013,3,789,148
447,Situation very,2017,7,35,116
448,Reason,1980,6,631,143
449,Street,1977,6,544,114
450,Throw buy get,1999,10,339,124
451,Majority simple memory,2009,5,298,103
452,One news four,1994,3,958,136
453,Partner court maintain town,2016,13,65,117
454,Style weight kind,1984,2,431,105
455,Production recent,1985,14,268,90
456,Leave structure,2022,4,13,95
457,Group instead federal language,2006,2,764,78
458,Most big although,2007,6,252,117
459,Carry claim,1973,7,2,162
460,Read result,2015,14,181,174
461,Toward left central nothing,1995,1,325,70
462,Record challenge plant,2000,2,180,74
463,Leave support,2014,11,287,73
464,Travel window begin,1983,11,932,72
465,Energy successful forward,1983,14,17,94
466,Face example,1977,7,255,92
467,From prevent,2009,2,477,146
468,Key page,2000,2,707,107
469,Sound drive cost,1977,3,780,76
470,Civil table open structure,2020,14,650,83
471,Learn floor eat seven,1993,6,605,160
472,Theory arrive present yard,1984,4,53,168
473,Word material,1974,15,933,161
474,Sign region win,2008,13,820,76
475,Bar defense try,1987,12,235,154
476,Kind fish seek,1989,2,995,175
477,What interview glass economy,1993,14,445,88
478,Many avoid,1988,9,406,167
479,Race human people argue,1973,11,491,107
480,Republican for,1980,11,580,133
481,Friend them when strategy,2021,2,875,128
482,Majority close plan everyone,2000,2,705,119
483,Trouble,1993,1,188,154
484,Science last rather in,2020,8,352,165
485,Tv woman three,2021,13,26,110
486,Any,2014,1,960,139
487,Myself,2016,12,726,175
488,Contain style,2001,10,227,79
489,Statement probably floor write,2005,3,706,157
490,Degree student human,1996,9,257,130
491,Stage bill own,1985,5,354,113
492,Physical son low,2004,13,681,94
493,Series role specific,1985,5,154,136
494,Improve professional design,2006,5,494,139
495,Job young,1978,11,959,154
496,Wait choice,2013,6,750,71
497,Guess year finish,2022,9,196,102
498,Memory no market,2000,3,56,145
499,Edge perform fall,1978,15,582,88
500,Teach job court,1979,12,29,105
501,Market,1984,3,365,112
502,Current remember detail,1973,12,151,96
503,Radio enough also,2001,13,9,116
504,Chance see,1994,1,704,141
505,Such late degree,1997,1,377,155
506,Yard indeed street risk,2011,13,563,165
507,Education thus,2022,5,967,158
508,Simply half,1982,10,848,147
509,Factor,2006,10,984,132
510,Democrat ground west every,1996,9,940,131
511,Read stage,2018,11,963,139
512,Reveal north nor my,1979,13,659,163
513,Able great state investment,1994,5,228,151
514,Then political behavior imagine,2008,8,194,108
515,Character chance else,2007,13,32,91
516,Defense she,1992,11,189,72
517,Effort executive,1978,11,782,175
518,Institution that,2024,7,598,74
519,Course look,1988,14,726,138
520,Ability score eye,2015,4,15,167
521,Senior show PM,1978,1,796,91
522,Personal staff,1979,2,581,76
523,Expert suddenly think,1990,10,731,161
524,Message identify kind,2001,2,421,169
525,Glass defense statement,1995,7,353,158
526,Economic station,2001,1,432,162
527,Election,1991,6,79,151
528,Protect moment,2019,1,927,74
529,Gun,1998,15,154,73
530,Guy share,1974,7,152,176
